"month","weather","weather1","weather2","weather3"
1,"Fine","Rain","Fine","Fine"
1,"Fine","Fine","Rain","Fine"
1,"Cloudy","Fine","Fine","Rain"
1,"Fine","Cloudy","Fine","Fine"
1,"Cloudy","Fine","Cloudy","Fine"
1,"Rain","Cloudy","Fine","Cloudy"
1,"Fine","Rain","Cloudy","Fine"
1,"Fine","Fine","Rain","Cloudy"
1,"Fine","Fine","Fine","Rain"
1,"Fine","Fine","Fine","Fine"
1,"Cloudy","Fine","Fine","Fine"
1,"Fine","Cloudy","Fine","Fine"
1,"Fine","Fine","Cloudy","Fine"
1,"Fine","Fine","Fine","Cloudy"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Cloudy","Fine","Fine","Fine"
1,"Cloudy","Cloudy","Fine","Fine"
1,"Cloudy","Cloudy","Cloudy","Fine"
1,"Fine","Cloudy","Cloudy","Cloudy"
1,"Fine","Fine","Cloudy","Cloudy"
1,"Fine","Fine","Fine","Cloudy"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
1,"Fine","Fine","Fine","Fine"
2,"Snow","Fine","Fine","Fine"
2,"Fine","Snow","Fine","Fine"
2,"Fine","Fine","Snow","Fine"
2,"Fine","Fine","Fine","Snow"
2,"Rain","Fine","Fine","Fine"
2,"Fine","Rain","Fine","Fine"
2,"Fine","Fine","Rain","Fine"
2,"Fine","Fine","Fine","Rain"
2,"Fine","Fine","Fine","Fine"
2,"Cloudy","Fine","Fine","Fine"
2,"Fine","Cloudy","Fine","Fine"
2,"Fine","Fine","Cloudy","Fine"
2,"Rain","Fine","Fine","Cloudy"
2,"Cloudy","Rain","Fine","Fine"
2,"Fine","Cloudy","Rain","Fine"
2,"Cloudy","Fine","Cloudy","Rain"
2,"Rain","Cloudy","Fine","Cloudy"
2,"Fine","Rain","Cloudy","Fine"
2,"Fine","Fine","Rain","Cloudy"
2,"Fine","Fine","Fine","Rain"
2,"Fine","Fine","Fine","Fine"
2,"Rain","Fine","Fine","Fine"
2,"Fine","Rain","Fine","Fine"
2,"Fine","Fine","Rain","Fine"
2,"Fine","Fine","Fine","Rain"
2,"Fine","Fine","Fine","Fine"
3,"Fine","Fine","Fine","Fine"
3,"Cloudy","Fine","Fine","Fine"
3,"Cloudy","Cloudy","Fine","Fine"
3,"Fine","Cloudy","Cloudy","Fine"
3,"Fine","Fine","Cloudy","Cloudy"
3,"Fine","Fine","Fine","Cloudy"
3,"Fine","Fine","Fine","Fine"
3,"Fine","Fine","Fine","Fine"
3,"Fine","Fine","Fine","Fine"
3,"Fine","Fine","Fine","Fine"
3,"Cloudy","Fine","Fine","Fine"
3,"Fine","Cloudy","Fine","Fine"
3,"Fine","Fine","Cloudy","Fine"
3,"Fine","Fine","Fine","Cloudy"
3,"Fine","Fine","Fine","Fine"
3,"Fine","Fine","Fine","Fine"
3,"Rain","Fine","Fine","Fine"
3,"Fine","Rain","Fine","Fine"
3,"Fine","Fine","Rain","Fine"
3,"Cloudy","Fine","Fine","Rain"
3,"Fine","Cloudy","Fine","Fine"
3,"Rain","Fine","Cloudy","Fine"
3,"Rain","Rain","Fine","Cloudy"
3,"Fine","Rain","Rain","Fine"
3,"Fine","Fine","Rain","Rain"
3,"Fine","Fine","Fine","Rain"
3,"Rain","Fine","Fine","Fine"
3,"Cloudy","Rain","Fine","Fine"
3,"Fine","Cloudy","Rain","Fine"
3,"Fine","Fine","Cloudy","Rain"
3,"Fine","Fine","Fine","Cloudy"
4,"Fine","Fine","Fine","Fine"
4,"Cloudy","Fine","Fine","Fine"
4,"Rain","Cloudy","Fine","Fine"
4,"Fine","Rain","Cloudy","Fine"
4,"Fine","Fine","Rain","Cloudy"
4,"Cloudy","Fine","Fine","Rain"
4,"Cloudy","Cloudy","Fine","Fine"
4,"Fine","Cloudy","Cloudy","Fine"
4,"Fine","Fine","Cloudy","Cloudy"
4,"Cloudy","Fine","Fine","Cloudy"
4,"Cloudy","Cloudy","Fine","Fine"
4,"Cloudy","Cloudy","Cloudy","Fine"
4,"Fine","Cloudy","Cloudy","Cloudy"
4,"Fine","Fine","Cloudy","Cloudy"
4,"Fine","Fine","Fine","Cloudy"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
5,"Rain","Fine","Fine","Fine"
5,"Fine","Rain","Fine","Fine"
5,"Fine","Fine","Rain","Fine"
5,"Fine","Fine","Fine","Rain"
5,"Fine","Fine","Fine","Fine"
5,"Cloudy","Fine","Fine","Fine"
5,"Fine","Cloudy","Fine","Fine"
5,"Fine","Fine","Cloudy","Fine"
5,"Fine","Fine","Fine","Cloudy"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Rain","Fine","Fine","Fine"
5,"Cloudy","Rain","Fine","Fine"
5,"Fine","Cloudy","Rain","Fine"
5,"Fine","Fine","Cloudy","Rain"
5,"Fine","Fine","Fine","Cloudy"
5,"Cloudy","Fine","Fine","Fine"
5,"Fine","Cloudy","Fine","Fine"
5,"Fine","Fine","Cloudy","Fine"
5,"Fine","Fine","Fine","Cloudy"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
